timestamp,user_id,product_id,event,hour,day_of_week,is_weekend,interaction_score
2025-12-05 07:10:40,1004,50,add_to_cart,7,4,0,3
2025-12-03 05:53:40,1003,37,click,5,2,0,2
2025-12-07 06:08:40,1001,12,view,6,6,1,1
2025-12-01 21:20:40,1016,44,add_to_cart,21,0,0,3
2025-12-06 09:52:40,1003,25,view,9,5,1,1
2025-12-05 08:10:40,1017,17,click,8,4,0,2
2025-12-07 04:41:40,1013,1,add_to_cart,4,6,1,3
2025-12-01 01:08:40,1020,35,view,1,0,0,1
2025-12-02 08:00:40,1006,25,click,8,1,0,2
2025-12-02 19:43:40,1010,30,click,19,1,0,2
2025-12-04 05:36:40,1001,27,view,5,3,0,1
2025-12-01 23:30:40,1011,32,view,23,0,0,1
2025-12-07 02:00:40,1012,49,view,2,6,1,1
2025-12-06 06:45:40,1002,46,add_to_cart,6,5,1,3
2025-12-06 10:47:40,1002,10,view,10,5,1,1
2025-12-02 16:16:40,1014,50,click,16,1,0,2
2025-12-07 05:06:40,1018,14,click,5,6,1,2
2025-12-02 04:17:40,1018,44,view,4,1,0,1
2025-12-01 08:04:40,1014,7,view,8,0,0,1
2025-12-05 05:51:40,1012,24,view,5,4,0,1
2025-12-07 10:53:40,1017,5,click,10,6,1,2
2025-12-04 22:08:40,1007,13,view,22,3,0,1
2025-12-04 05:11:40,1014,3,view,5,3,0,1
2025-12-03 10:33:40,1007,45,purchase,10,2,0,4
2025-12-06 18:53:40,1015,36,purchase,18,5,1,4
2025-12-02 09:56:40,1020,6,view,9,1,0,1
2025-12-05 19:05:40,1002,15,click,19,4,0,2
2025-12-02 03:59:40,1014,3,view,3,1,0,1
2025-12-06 14:17:40,1005,25,view,14,5,1,1
2025-12-01 09:28:40,1019,13,view,9,0,0,1
2025-12-04 09:42:40,1016,8,view,9,3,0,1
2025-12-02 09:52:40,1005,11,click,9,1,0,2
2025-12-06 20:41:40,1006,36,add_to_cart,20,5,1,3
2025-12-03 02:07:40,1008,45,click,2,2,0,2
2025-12-07 05:29:40,1015,6,view,5,6,1,1
2025-12-03 23:34:40,1019,8,click,23,2,0,2
2025-12-01 08:06:40,1020,22,view,8,0,0,1
2025-12-03 22:33:40,1005,20,add_to_cart,22,2,0,3
2025-12-03 13:50:40,1017,3,purchase,13,2,0,4
2025-12-01 05:34:40,1006,16,view,5,0,0,1
2025-12-03 04:04:40,1013,30,view,4,2,0,1
2025-12-05 21:54:40,1006,2,view,21,4,0,1
2025-12-02 11:46:40,1001,5,add_to_cart,11,1,0,3
2025-12-06 20:55:40,1009,25,view,20,5,1,1
2025-12-06 02:56:40,1014,18,view,2,5,1,1
2025-12-04 00:38:40,1006,25,view,0,3,0,1
2025-12-04 17:57:40,1011,47,click,17,3,0,2
2025-12-05 00:59:40,1005,23,add_to_cart,0,4,0,3
2025-12-01 14:11:40,1002,12,add_to_cart,14,0,0,3
2025-12-05 10:40:40,1014,28,click,10,4,0,2
2025-12-07 09:22:40,1001,12,click,9,6,1,2
2025-12-01 06:00:40,1002,3,view,6,0,0,1
2025-12-05 02:32:40,1013,14,view,2,4,0,1
2025-12-03 15:22:40,1016,20,view,15,2,0,1
2025-12-03 20:46:40,1020,31,view,20,2,0,1
2025-12-04 10:18:40,1006,7,view,10,3,0,1
2025-12-07 12:02:40,1017,2,add_to_cart,12,6,1,3
2025-12-04 15:19:40,1005,37,view,15,3,0,1
2025-12-07 20:36:40,1005,15,view,20,6,1,1
2025-12-06 20:43:40,1014,46,view,20,5,1,1
2025-12-03 04:16:40,1010,45,purchase,4,2,0,4
2025-12-07 05:59:40,1006,17,add_to_cart,5,6,1,3
2025-12-03 16:04:40,1005,48,click,16,2,0,2
