user_id,product_id,hour,day_of_week,is_weekend,interaction_score,day,weekday,evt_add_to_cart,evt_click,evt_view,user_total_score,user_avg_score,unique_products_viewed,product_view_count
1004,50,7,4,0,3,5,4,1,0,0,961,1.9532520325203253,50,90
1003,37,5,2,0,2,3,2,0,1,0,941,1.8523622047244093,50,106
1001,12,6,6,1,1,7,6,0,0,1,966,1.861271676300578,50,94
1016,44,21,0,0,3,1,0,1,0,0,948,1.9268292682926829,50,103
1003,25,9,5,1,1,6,5,0,0,1,941,1.8523622047244093,50,102
1017,17,8,4,0,2,5,4,0,1,0,892,1.8739495798319328,50,107
1013,1,4,6,1,3,7,6,1,0,0,934,1.9218106995884772,50,102
1020,35,1,0,0,1,1,0,0,0,1,934,1.913934426229508,50,102
1006,25,8,1,0,2,2,1,0,1,0,922,1.8626262626262624,50,102
1010,30,19,1,0,2,2,1,0,1,0,1023,1.922932330827068,50,115
1001,27,5,3,0,1,4,3,0,0,1,966,1.861271676300578,50,92
1011,32,23,0,0,1,1,0,0,0,1,925,1.824457593688363,50,107
1012,49,2,6,1,1,7,6,0,0,1,860,1.894273127753304,50,83
1002,46,6,5,1,3,6,5,1,0,0,959,1.891518737672584,50,114
1002,10,10,5,1,1,6,5,0,0,1,959,1.891518737672584,50,118
1014,50,16,1,0,2,2,1,0,1,0,978,1.8771593090211127,50,90
1018,14,5,6,1,2,7,6,0,1,0,1032,1.897058823529412,50,103
1018,44,4,1,0,1,2,1,0,0,1,1032,1.897058823529412,50,103
1014,7,8,0,0,1,1,0,0,0,1,978,1.8771593090211127,50,96
1012,24,5,4,0,1,5,4,0,0,1,860,1.894273127753304,50,101
1017,5,10,6,1,2,7,6,0,1,0,892,1.8739495798319328,50,85
1007,13,22,3,0,1,4,3,0,0,1,856,1.8329764453961457,50,104
1014,3,5,3,0,1,4,3,0,0,1,978,1.8771593090211127,50,115
1007,45,10,2,0,4,3,2,0,0,0,856,1.8329764453961457,50,70
1015,36,18,5,1,4,6,5,0,0,0,1037,1.982791586998088,50,86
1020,6,9,1,0,1,2,1,0,0,1,934,1.913934426229508,50,104
1002,15,19,4,0,2,5,4,0,1,0,959,1.891518737672584,50,120
1014,3,3,1,0,1,2,1,0,0,1,978,1.8771593090211127,50,115
1005,25,14,5,1,1,6,5,0,0,1,973,1.8893203883495149,50,102
1019,13,9,0,0,1,1,0,0,0,1,963,1.8956692913385824,50,104
1016,8,9,3,0,1,4,3,0,0,1,948,1.9268292682926829,50,93
1005,11,9,1,0,2,2,1,0,1,0,973,1.8893203883495149,50,103
1006,36,20,5,1,3,6,5,1,0,0,922,1.8626262626262624,50,86
1008,45,2,2,0,2,3,2,0,1,0,978,1.9520958083832336,50,70
1015,6,5,6,1,1,7,6,0,0,1,1037,1.982791586998088,50,104
1019,8,23,2,0,2,3,2,0,1,0,963,1.8956692913385824,50,93
1020,22,8,0,0,1,1,0,0,0,1,934,1.913934426229508,50,96
1005,20,22,2,0,3,3,2,1,0,0,973,1.8893203883495149,50,102
1017,3,13,2,0,4,3,2,0,0,0,892,1.8739495798319328,50,115
1006,16,5,0,0,1,1,0,0,0,1,922,1.8626262626262624,50,91
1013,30,4,2,0,1,3,2,0,0,1,934,1.9218106995884772,50,115
1006,2,21,4,0,1,5,4,0,0,1,922,1.8626262626262624,50,102
1001,5,11,1,0,3,2,1,1,0,0,966,1.861271676300578,50,85
1009,25,20,5,1,1,6,5,0,0,1,884,1.9175704989154008,50,102
1014,18,2,5,1,1,6,5,0,0,1,978,1.8771593090211127,50,83
1006,25,0,3,0,1,4,3,0,0,1,922,1.8626262626262624,50,102
1011,47,17,3,0,2,4,3,0,1,0,925,1.824457593688363,50,93
1005,23,0,4,0,3,5,4,1,0,0,973,1.8893203883495149,50,90
1002,12,14,0,0,3,1,0,1,0,0,959,1.891518737672584,50,94
1014,28,10,4,0,2,5,4,0,1,0,978,1.8771593090211127,50,89
1001,12,9,6,1,2,7,6,0,1,0,966,1.861271676300578,50,94
1002,3,6,0,0,1,1,0,0,0,1,959,1.891518737672584,50,115
1013,14,2,4,0,1,5,4,0,0,1,934,1.9218106995884772,50,103
1016,20,15,2,0,1,3,2,0,0,1,948,1.9268292682926829,50,102
1020,31,20,2,0,1,3,2,0,0,1,934,1.913934426229508,50,94
1006,7,10,3,0,1,4,3,0,0,1,922,1.8626262626262624,50,96
1017,2,12,6,1,3,7,6,1,0,0,892,1.8739495798319328,50,102
1005,37,15,3,0,1,4,3,0,0,1,973,1.8893203883495149,50,106
1005,15,20,6,1,1,7,6,0,0,1,973,1.8893203883495149,50,120
